title	content	tags	metadata
场景六要素|Six Scene Elements	场景六要素：地点(物理空间)、时间(昼夜/季节/时代)、氛围(情绪色调)、功能(叙事作用)、主角目标、冲突/障碍。六个要素决定场景是否有效。	场景,要素,叙事,基础	style=principle
室内场景|Indoor Scenes	室内场景类型：家居(温馨/私密)、办公(专业/压抑)、商业(公共/流动)、工业(冷酷/危险)。室内=可控的环境叙事。	场景,室内,空间,类型	style=list
室外场景|Outdoor Scenes	室外场景类型：城市(钢筋水泥/霓虹)、自然(山川/森林/海边)、乡村(田园/宁静)、废墟(衰败/危险)。室外=开放的情绪舞台。	场景,室外,空间,类型	style=list
自然场景|Nature Scenes	自然场景元素：天空(云/光/天色)、地形(山/平原/水域)、植被(森林/草地/花卉)、天气(晴/雨/雪/雾/风)。自然=最大的背景板。	场景,自然,元素,环境	format=list
城市景观|Urban Landscapes	城市景观要素：建筑(风格/高度/密度)、街道(布局/人流/车流)、公共空间(广场/公园)、夜景(灯光/霓虹/黑暗)。城市=人类文明的总和。	场景,城市,建筑,现代	format=list
光线设计|Lighting Design	光线五要素：方向(正面/侧面/逆光/顶光/底光)、质量(硬光/软光)、颜色(色温/彩色)、强度(明暗对比)、动态(闪烁/移动)。光=视觉的灵魂。	场景,光线,视觉,氛围	format=list
自然光|Natural Light	自然光变化：日出(暖/低角度/长影子)、正午(白/高角度/短影子)、黄昏(橙红/低角度/长影子)、夜晚(蓝/人工光)。自然光=时间的标记。	场景,自然光,时间,变化	style=principle
人造光|Artificial Light	人造光类型：台灯(点光源/暖)、日光灯(冷/均匀)、霓虹灯(彩色/频闪)、蜡烛(摇曳/暖)。人造光=情绪的调色盘。	场景,人造光,室内,氛围	style=code
阴影表达|Shadow Expression	阴影用法：分割画面、隐藏信息、投射情绪(长影=孤独)、强调主体。阴影=光明的另一面。	场景,阴影,光影,戏剧	style=principle
天气系统|Weather System	天气叙事：晴天(希望/轻松)、雨天(忧郁/浪漫/困阻)、雪天(纯洁/寒冷/寂静)、雾天(神秘/模糊/迷茫)、风天(动感/变化/不安)。天气=情绪的放大器。	场景,天气,情绪,氛围	format=list
时间叙事|Time Narration	时间叙事：清晨(新开始/希望)、白天(日常/现实)、黄昏(过渡/感慨)、夜晚(秘密/危险/浪漫)。时间是看不见的主角。	场景,时间,叙事,氛围	style=principle
四季表达|Four Seasons	四季氛围：春(新生/希望/柔和)、夏(活力/热情/强烈)、秋(收获/凋零/暖色)、冬(寂静/死亡/冷色)。四季=自然的情绪循环。	场景,四季,氛围,自然	format=list
空间构图|Space Composition	空间构图：前景(引导/框架)、中景(主体/焦点)、背景(环境/氛围)。层次=深度。	场景,构图,层次,空间	style=principle
封闭空间|Confined Spaces	封闭空间特点：压迫感、紧张感、限制感、亲密感。封闭=心理状态的投射。适用：电梯/牢房/潜水钟/衣柜。	场景,封闭,压抑,紧张	style=principle
开放空间|Open Spaces	开放空间特点：自由感、孤独感、可能性、无边界感。开放=心境的反映。适用：平原/大海/天空/沙漠。	场景,开放,自由,孤独	style=principle
对称构图|Symmetrical Composition	对称构图：左右对称(庄严/稳定)、上下对称(反射/镜像)、中心对称(辐射/聚焦)。对称=秩序的美。	场景,对称,构图,稳定	style=code
对角线构图|Diagonal Composition	对角线构图：引导视线、增加动感、打破平衡。对角线=被压抑的动态。	场景,对角线,动感,引导	style=code
三分法构图|Rule of Thirds	三分法：将画面横竖各分三等份，四条线/四个交叉点是视觉焦点。三分法=最安全的构图。	场景,三分法,构图,经典	style=code
框架构图|Frame Composition	框架构图：用门/窗/树枝等框架包围主体。框架=视线的边界和引导。	场景,框架,构图,引导	style=code
引导线|Leading Lines	引导线：道路/栏杆/河流/阴影引导视线。引导线=沉默的向导。	场景,引导线,构图,引导	style=code
留白构图|Negative Space	留白：空白区域不是浪费，是呼吸。留白=强调+想象+呼吸。极简=留白的艺术。	场景,留白,极简,呼吸	style=principle
色彩氛围|Color Atmosphere	色彩氛围：暖色(亲密/活跃/食物)、冷色(疏离/平静/科技)、对比色(冲突/活力)、同色系(统一/高级)。色彩=情绪的隐性语言。	场景,色彩,氛围,情绪	style=principle
色调设计|Color Grading	色调设计：橙青色(好莱坞大片)、低饱和(文艺片)、高对比(黑色电影)、粉彩色(童话/梦幻)。色调=风格的签名。	场景,色调,风格,电影	style=code
纹理质感|Texture & Material	纹理表达：粗糙(原始/自然/旧)、光滑(现代/冷/精致)、柔软(温暖/舒适/脆弱)、坚硬(力量/危险/冷漠)。纹理=触觉的视觉化。	场景,纹理,质感,触觉	style=principle
纵深表达|Depth Expression	纵深表达：近大远小、空气透视(近清远糊)、色彩透视(近暖远冷)、重叠遮挡(前后关系)。纵深=三维的幻觉。	场景,纵深,透视,空间	style=principle
空间情绪|Space Emotion	空间与情绪：狭小(焦虑/压抑)、空旷(孤独/自由)、高耸(威严/渺小感)、幽暗(恐惧/神秘)。空间大小=心理投射。	场景,空间,情绪,心理	style=principle
时代感营造|Period Feeling	时代感要素：建筑风格、家具陈设、服装道具、技术水平、社会风貌、语言习惯。细节=时代的指纹。	场景,时代,历史,细节	style=principle
文化场景|Cultural Scenes	文化场景设计：宗教(教堂/寺庙/神社)、民俗(集市/节日/仪式)、饮食(餐厅/厨房/街头)、艺术(画廊/剧院/音乐厅)。文化=地方的精神。	场景,文化,地域,特色	style=principle
幻想场景|Fantasy Scenes	幻想场景设计：魔法森林(发光的生物/扭曲的树木)、水晶洞穴(反射/彩色光)、浮空岛(重力失效/云海)、异次元(不可能的几何)。幻想=打破物理规则。	场景,幻想,魔法,打破常规	style=code
科幻场景|Sci-fi Scenes	科幻场景要素：金属/玻璃材质、冷色调、霓虹光效、全息投影、未来载具、星际背景。科幻=未来的视觉化。	场景,科幻,未来,科技	style=code
历史场景|Historical Scenes	历史场景设计：准确还原(考据)、氛围营造(情绪)、对比手法(今昔)、标志性元素(识别度)。历史=过去的窗口。	场景,历史,时代,考据	style=principle
废墟场景|Ruins & Wasteland	废墟场景特点：衰败感、历史感、危险感、荒凉美。废墟=时间的痕迹。元素：坍塌建筑、锈蚀金属、蔓布植物、积水、涂鸦。	场景,废墟,衰败,时间	style=code
