title	content	tags	metadata
剪辑基本理论|Cutting Basics	剪辑三原理：切除无用(只留必要)、重新排序(创造意义)、时间压缩/扩展(控制节奏)。剪辑不是记录，是再创作。	剪辑,基础,理论,叙事	style=principle
蒙太奇理论|Montage Theory	蒙太奇四类型：叙事蒙太奇(按时间顺序)、表现蒙太奇(情绪/概念)、对列蒙太奇(冲突产生新义)、反射蒙太奇(主题关联)。	剪辑,蒙太奇,理论,爱森斯坦	format=list
库里肖夫效应|Kuleshov Effect	库里肖夫实验：同一表情+不同镜头=不同含义。意义由镜头间关系创造，非单个镜头决定。剪辑是意义的生成器。	剪辑,库里肖夫,心理学,意义	style=principle
好莱坞线性剪辑|Hollywood Continuity	好莱坞剪辑七原则：180度系统(保持方位)、30度规则(避免相似机位)、视线匹配、动作匹配、因果顺序、轴线原则、流畅转切。	剪辑,好莱坞,连续性,规则	style=principle
俄罗斯蒙太奇|Russian Montage	俄罗斯蒙太奇五手法：对比蒙太奇、平行蒙太奇、象征蒙太奇、节奏蒙太奇、心理蒙太奇。强调镜头碰撞产生的思想火花。	剪辑,俄罗斯,蒙太奇,理论	format=list
节奏剪辑|Rhythm Editing	节奏剪辑四维度：镜头时长(视觉节奏)、音乐节拍(音画同步)、动作节点(接动作)、情绪起伏(缓急对比)。节奏是剪辑的呼吸。	剪辑,节奏,节拍,呼吸	style=principle
 J-cut与L-cut|J-cut & L-cut	音频剪辑两基础：J-cut(音频先于视频入)、L-cut(视频先于音频入)。创造流畅衔接，告别硬切。	剪辑,j-cut,l-cut,音频	style=code
跳切|Jump Cut	跳切用法：打破时间连续性、制造紧张/不安、强调情绪、快速转场。去除冗余的同时增加张力。	剪辑,跳切,节奏,不安	style=code
匹配剪辑|Match Cut	匹配剪辑三类型：动作匹配(相似动作接续)、图形匹配(形状相似)、构图匹配(角度/位置相同)。跨时空无缝衔接。	剪辑,匹配,接续,转场	style=code
叠化| dissolves & fades	叠化用法：淡入(开场/新场景)、淡出(结束/沉思)、叠化(时间流逝/梦境/平行叙事)。节奏较慢，留有余韵。	剪辑,叠化,转场,氛围	style=code
黑场白场|Color & White Flash	黑白场用法：黑场(段落结束/沉思)、白场(强光冲击/梦境/回忆开始)。段落分隔的强有力手段。	剪辑,黑场,白场,转场	style=code
闪回与闪前|Flashback & Flashforward	闪回用法：揭示过去、补充信息、制造悬念。闪前：预示未来、埋下伏笔。需明确视觉标记区分。	剪辑,闪回,叙事,时间	style=principle
快慢动作| slow & fast motion	变速用法：慢动作(强调/浪漫/悲伤/戏剧性)、快动作(喜剧/时间压缩/追逐)。慢动作需配合音乐踩点。	剪辑,慢动作,快动作,变速	style=code
定格| freeze frame	定格用法：强调瞬间、情绪凝固、打破第四面墙、视觉感叹号。定格后接动作=时间重启感。	剪辑,定格,强调,静态	style=code
碎片化剪辑|Fragmented Editing	碎片化剪辑：快速切换、跳切、跳帧、打破轴线。制造紧张/焦虑/醉酒/梦境/快速资讯等效果。	剪辑,碎片化,快切,不安	style=code
平行剪辑|Parallel Editing	平行剪辑：两组或多组镜头交替剪辑。制造紧张感(追逐双方)、对比(命运交织)、主题关联。	剪辑,平行,多线,紧张感	style=principle
交叉剪辑|Cross-cutting	交叉剪辑与平行剪辑类似但更强调冲突和即时感。常用于：营救场景、倒计时、惊悚悬疑。	剪辑,交叉,紧张,即时感	style=principle
碎片化快切|Splinter Editing	碎片快切：极短镜头(1-3秒)、高强度切换、信息轰炸。用于：动作高潮、情绪爆发、资讯爆炸。配合音乐高潮。	剪辑,快切,高潮,信息	style=code
叙事结构| Narrative Structure	叙事结构五式：三幕式(建/承/转)、起承转合、爱森斯坦五段式(紧张递增)、诺克斯结构(十二步骤)、现代非线性结构。	剪辑,叙事,结构,剧本	format=list
场景转换|Scene Transitions	场景转换十法：动作接续、声音先入、叠化、黑场、分屏、匹配转场、视点切换、地理标记、季节变化、抽象过渡。	剪辑,转场,场景,方法	format=list
声音桥接|Sound Bridge	声音桥接三法：声音先入(前一个镜头的声音在下一个镜头继续)、声音延后(画面切走后声音继续)、声音重叠(出点入点重叠)。声音连接时空。	剪辑,声音,桥接,连续性	style=principle
音乐剪辑点|Music Editing Points	音乐剪辑四原则：入点踩beat/outro、设计riser/break、音乐淡入淡出、音效填补空隙。音乐是剪辑的骨架。	剪辑,音乐,节拍,节奏	style=principle
对话剪辑|Dialogue Editing	对话剪辑四技巧：正反打(双人对话)、过肩镜头(主客切换)、插入镜头(特写/反应)、跳切(去除冗余)。保持流畅和节奏。	剪辑,对话,正反打,流畅	style=code
动作剪辑|Action Editing	动作剪辑三原则：接动作(运动中切)、接方向(保持一致)、接视线(匹配)。动作剪辑考验剪辑师对运动的理解。	剪辑,动作,连续性,运动	style=principle
情感剪辑点|Emotional Edit Points	情感剪辑点：不是在动作结束后切，而是在情绪最高点切。不是逻辑，是感受。	剪辑,情感,情绪,感受	style=principle
信息剪辑|Informational Editing	信息剪辑：揭示真相、制造悬念、控制信息释放节奏。信息是剪辑的武器。	剪辑,信息,悬念,节奏	style=principle
视觉节奏|Visual Rhythm	视觉节奏：镜头长短交替、动静对比、色彩/明暗变化、构图差异。节奏是观者的呼吸。	剪辑,视觉节奏,节奏,呼吸	style=principle
心理剪辑|Psychological Editing	心理剪辑：以角色的心理状态为剪辑依据。内心混乱=碎片剪辑；回忆=慢动作+叠化；专注=长镜头。	剪辑,心理,情绪,主观	style=principle
剪辑软件工作流|Editing Workflow	工作流七步：素材整理→粗剪(剧情)→精剪(节奏)→调色→声音设计→音乐音效→输出。粗剪大胆，精剪谨慎。	剪辑,工作流,流程,制作	style=principle
