title	content	tags	metadata
镜头语言基础|Lens Language Basics	镜头语言五要素：景别(决定信息量)、角度(传达情绪)、运动(叙事/情绪)、焦距(关系/压缩)、时长(节奏/心理)。镜头是词汇，剪辑是语法。	镜头,基础,词汇,语言	style=principle
景别系统|Shot Types	景别六分法：大远景(环境/开场)、远景(全貌/史诗)、全景(完整人物)、中景(膝盖以上/对话)、近景(胸口以上/交流)、特写(局部/强调)。	镜头,景别,景深,信息量	format=list
极端景别|Extreme Shots	极端景别用法：大远景=孤独/渺小；大特写=放大情绪/细节(眼睛/手/道具)。极端=强调极端情感。	镜头,极端,特写,情绪	style=principle
镜头角度| Camera Angles	角度七分法：鸟瞰(全知/威胁)、俯拍(渺小/客观)、平拍(平等/尊重)、仰拍(威严/崇高/压迫感)、倾斜(不安/混乱)、过肩(关系/对话)、主观(代入)。	镜头,角度,透视,情绪	format=list
荷兰角|Dutch Angle	荷兰角(倾斜镜头)：画面倾斜15-45度。制造不安、紧张、危险、醉酒感。用于心理失衡或环境威胁。	镜头,荷兰角,倾斜,不安	style=code
过肩镜头|Over-the-shoulder	过肩镜头用法：建立两个人物的空间关系；对话场景标配；角度变化避免单调。过肩=关系镜头。	镜头,过肩,关系,对话	style=code
主观镜头|POV Shot	主观镜头(POV)：摄影机=角色眼睛。强烈代入感、主观叙事、限制信息(制造悬念)。常见于：第一人称射击、恐怖片、梦境。	镜头,pov,主观,代入	style=code
摄影机运动|Camera Movement	运动摄影七型：推(靠近/强调/进入内心)、拉(远离/揭示/焦虑)、摇(环顾/扫描/环境)、移(行走感/跟拍/探索)、升降(空间感/气势)、手持(真实感/紧张/跟拍)、稳定器(流畅跟拍)。	镜头,运动,推拉摇移,基础	format=list
推镜头| Dolly & Push-in	推镜头用法：强调重点、进入人物内心、制造紧张、跟随移动目标。焦点需跟随或使用深焦。	镜头,推,焦点,强调	style=principle
拉镜头| Dolly & Pull-out	拉镜头用法：揭示环境全貌、扩大视野、从紧张到释然、结束段落。拉出=拉开心理距离。	镜头,拉,揭示,距离	style=principle
摇镜头| Pan Shot	摇镜头用法：横向扫描环境、建立场景、跟随运动物体、揭示人物关系。速度=情绪(快=紧张/慢=沉思)。	镜头,摇,扫描,环境	style=principle
移动镜头|Tracking Shot	移动镜头(推拉摇移的移动)：轨道(平滑水平)、手持(真实感/紧张)、斯坦尼康(流畅+稳定)。移动=探索/跟随/时间流逝。	镜头,移动,跟拍,探索	style=principle
升降镜头|Crane & Jib Shot	升降镜头用法：展示宏大场景、强调空间关系、从低到高=升华/希望、从高到低=宿命/压迫。升降=上帝视角或英雄视角。	镜头,升降,氛围,空间	style=principle
手持摄影|Handheld Cinematography	手持摄影特点：呼吸感、真实感、紧张感、亲密感。用于：纪录片、惊悚、真实场景、快速运动。不稳定=情绪不稳定。	镜头,手持,真实,紧张	style=principle
深焦镜头|Deep Focus	深焦镜头(深景)：前景、中景、背景同时清晰。用广角+小光圈。画面充满信息，调度复杂，引导观众选择。	镜头,深焦,景深,信息	style=principle
浅景深| shallow Focus	浅景深用法：突出主体、模糊背景(减少干扰)、梦幻感/怀旧感。用长焦或大光圈。浅=聚焦当前，忽略其他。	镜头,浅景深,虚化,聚焦	style=principle
长焦镜头| Telephoto Lens	长焦镜头特点：压缩空间(前后景靠近)、减少变形、背景放大。长焦=压缩感/隔离感/观察感。	镜头,长焦,压缩,空间	style=principle
广角镜头| Wide Angle Lens	广角镜头特点：扩大视野、夸张透视、边缘变形、增加空间感。广角=环境感/距离感/真实感。	镜头,广角,透视,环境	style=principle
鱼眼镜头| Fisheye Lens	鱼眼镜头用法：极端广角、桶形畸变、夸张透视、扭曲现实。用于：特殊视角、GoPro、运动镜头、夸张效果。	镜头,鱼眼,扭曲,特殊	style=code
定场镜头|Establishing Shot	定场镜头用法：开场建立地点/时间/氛围；大远景或航拍；节奏起点；配合字幕或声音说明。定场=建立叙事空间。	镜头,定场,建立,开场	style=principle
插入镜头| Insert Shot	插入镜头用法：细节强调(钥匙/文件/时钟)、补充信息、缓解镜头(切换点)。插入=局部放大/信息补充。	镜头,插入,细节,强调	style=code
反应镜头| Reaction Shot	反应镜头用法：拍A说话→切B的反应→再切回A。制造对比、等待感、情绪共鸣。反应镜头=情绪放大器。	镜头,反应,情绪,对话	style=code
长镜头| Long Take	长镜头特点：连续不切、复杂调度、时间真实感、演员表演考验、制造沉浸/紧张/一镜感。用斯坦尼康或轨迹复杂运动。	镜头,长镜头,调度,沉浸	style=principle
空镜头| Pure Landscape Shot	空镜头用法：转场过渡、情绪调节、节奏呼吸、象征暗示(花开=希望/下雨=悲伤)。无人物=环境独白。	镜头,空镜头,转场,氛围	style=principle
航拍镜头|Aerial Shot	航拍镜头用法：建立宏大场景、展示地形/建筑、全知视角、史诗感/孤立感。航拍=上帝之眼。	镜头,航拍,上帝视角,宏大	style=code
跟拍镜头|Follow Shot	跟拍镜头用法：跟随人物移动、建立空间感、沉浸感、参与感。手持或斯坦尼康。跟拍=参与视角。	镜头,跟拍,跟随,沉浸	style=principle
焦点转换|Focus Pull	焦点转换( Rack Focus)：从A清晰变B清晰。转移注意力、改变主体、揭示关系。焦点=观众视线的引导。	镜头,焦点,转移,引导	style=code
慢动作| slow Motion	慢动作用法：强调动作、放大情绪、浪漫/悲剧时刻、动作细节展示、视觉效果。高速摄影=时间的膨胀。	镜头,慢动作,强调,情绪	style=code
快动作| Quick Motion	快动作用法：喜剧效果、时间压缩、追逐场景、展示过程(开花/建设)、加速节奏。降格拍摄=时间压缩。	镜头,快动作,压缩,喜剧	style=code
反射镜头|Reflection Shot	反射镜头用法：镜子/水面/玻璃/手机屏的反射。反射=双关/真相与假象/窥视感。视觉趣味+叙事层次。	镜头,反射,双关,视觉	style=code
影子镜头|Shadow Shot	影子镜头用法：影子先行(制造悬念)、影子轮廓(隐藏身份)、光影对比(善恶)、影子=另一自我。影子是戏剧性工具。	镜头,影子,光影,戏剧	style=code
镜头调度|Shot Composition	构图要素：三分法、黄金分割、对称、框架(门窗/阴影框住主体)、引导线、留白。构图=视觉叙事。	镜头,构图,黄金分割,三分法	style=principle
