title	content	tags	metadata
运动基础原理|Motion Principles	运动十二原则(迪士尼)：squash & stretch(挤压拉伸)、anticipation(预备动作)、staging(舞台呈现)、straight ahead(连续画)、pose to pose(关键帧)、follow through(跟随/惯性)、slow in/out(缓入缓出)、arcs(弧线运动)、secondary action(次要动作)、timing(节奏)、exaggeration(夸张)、solid drawing(扎实的形体)。	动作,原理,迪士尼,动画	format=list
挤压拉伸| squash & stretch	挤压拉伸：运动时物体沿运动方向伸展，停止时挤压变形。体现柔软度和重量感。跑跳落地=挤压；起跳/抛物=拉伸。	动作,挤压,拉伸,柔软	style=code
预备动作|Anticipation	预备动作：主要动作前的反方向动作。跳远前先下蹲、投掷前先后仰。预备=动因。	动作,预备,准备,动因	style=code
跟随与重叠|Follow Through & Overlap	跟随：主要动作结束后，各部分继续运动(头发/尾巴/衣物)。重叠：同时做多个动作时，各部分时机不同。	动作,跟随,重叠,惯性	style=code
缓入缓出|Ease In & Out	缓入缓出：动作开始慢逐渐加快，结束前逐渐减慢。除非外力突然作用，否则无事物突然开始/停止。	动作,缓动,节奏,自然	style=code
弧线运动|Arc Motion	弧线运动：生物动作天然走弧线，直线运动显得机械。除非有外力或特殊需要。弧线=生命的轨迹。	动作,弧线,曲线,自然	style=code
次要动作|Secondary Action	次要动作：主体运动时，附带的其他动作(转头看、说话、手指动)。次要动作强化主要动作，不抢焦点。	动作,次要,辅助,层次	style=code
夸张手法|Exaggeration	夸张：在真实基础上放大。表情夸张(喜怒哀乐放大)、动作夸张(冲击/速度)、物体夸张(弹性/变形)。夸张=戏剧性。	动作,夸张,戏剧性,放大	style=code
行走周期|Walking Cycle	行走周期八帧：单腿支撑(重心腿)→过渡(摆动腿过重心)→双腿支撑→另一侧过渡。手臂摆动与双腿相反。	动作,行走,周期,基础	style=code
跑步周期|Running Cycle	跑步周期：腾空阶段(双腿收起)→落地冲击→支撑→摆动。跑步=有腾空的行走，节奏更快。	动作,跑步,周期,腾空	style=code
跳跃动画|Jump Animation	跳跃四阶段：预备(下蹲蓄力)→起跳(伸展)→腾空(姿态保持)→落地(缓冲压缩)。跳跃=对抗重力。	动作,跳跃,重力,腾空	style=code
