title	content	tags	metadata
剧本结构| Screenplay Structure	剧本结构五型：三幕式(建/承/转最经典)、五幕式(传统戏剧)、英雄之旅(12阶段)、序列结构(多幕高潮)、倒叙结构(非线性)。	剧本,结构,叙事,理论	format=list
三幕式结构|Three Act Structure	三幕式：第一幕建置(约25%建立世界/冲突)、第二幕对抗(约50%主角奋斗/障碍/挫败)、第三幕解决(约25%高潮/结局)。最经典的叙事框架。	剧本,三幕式,经典,框架	style=principle
节拍器理论| Beat Sheet	节拍器理论(Blake Snyder)：15个节拍(开场画面/主题呈现/设定/催化剂/讨论/第二幕起点/游戏/中点/反派逼近/一切失去/黑事件/第三幕起点/最终影像/结局/结尾画面)。	剧本,节拍器,blake,格式	format=code
英雄之旅| Hero's Journey	英雄之旅12阶段：平凡世界→冒险召唤→拒绝召唤→遇见导师→跨越门槛→考验/盟友/敌人→接近洞穴→严峻考验→获得奖赏→返回之路→复活→满载而归。	剧本,英雄之旅,神话,坎贝尔	format=list
人物弧光|Character Arc	人物弧光四型：正面弧光(改变成长)、负面弧光(堕落)、平面弧光(坚守信念)、对比弧光(与他人对比)。弧光=内在改变。	剧本,人物,弧光,成长	format=list
人物塑造|Characterization	人物塑造六维度：外在(外貌/穿着)、行为(习惯动作)、言语(口头禅/语气)、心理(动机/恐惧)、社交(关系网络)、价值观(信念/选择)。	剧本,人物,塑造,立体	style=principle
对话写作| Dialogue Writing	对话写作四原则：推进剧情/揭示人物/代替描述/建立关系。不说废话，每句有功能。潜台词>直白。	剧本,对话,潜台词,功能	style=principle
开场钩子|Opening Hook	开场钩子五式：悬念开场、动作开场、神秘开场、幽默开场、视觉奇观。开场=承诺，决定观众是否留下。	剧本,开场,钩子,第一页	style=principle
转折点|Plot Point	转折点两要素：第一转折(约25%主角面临选择/不能回头)、第二转折(约75%一切改变/最终对决准备)。转折点=故事方向的改变。	剧本,转折点,节点,节点	style=principle
激励事件|Inciting Incident	激励事件(催化剂)：打破平衡的触发事件。通常在前10页出现，吸引主角进入主线。	剧本,激励事件,触发,冲突	style=principle
悬念设置|Suspense Setup	悬念三型：期待式(观众知道危险在逼近)、惊讶式(突然揭示)、神秘式(信息缺失驱动)。希区柯克炸弹理论。	剧本,悬念,希区柯克,张力	style=principle
伏笔与揭晓|Foreshadowing & Payoff	伏笔三原则：埋得早、藏得深、收得妙。伏笔=制造预期，揭晓=满足/颠覆预期。	剧本,伏笔,揭晓,预期	style=principle
潜台词|Subtext	潜台词写作：人物说A意思B，环境/动作/沉默传达真实含义。潜台词=成年人的复杂对话。	剧本,潜台词,含蓄,层次	style=principle
类型化叙事| Genre Conventions	主流类型叙事惯例：爱情片(相遇→阻碍→在一起)、悬疑片(谜题→线索→揭示)、惊悚片(威胁→升级→逃脱)、喜剧片(困境→混乱→解决)。类型=观影预期。	剧本,类型,惯例,类型片	format=list
主角塑造| Protagonist Creation	主角塑造四要素：欲望(想要什么)、动机(为什么想要)、道德代价(底线)、成长空间(弱点/盲点)。主角必须有主动选择。	剧本,主角,欲望,动机	style=principle
