title	content	tags	metadata
按钮状态|Button States	按钮的三种基本状态：默认(Default)、悬停(Hover)、按下(Pressed)、禁用(Disabled)。默认状态传达正常可点击；悬停暗示即将交互；按下确认操作；禁用表示不可用。	ui,按钮,状态,交互	style=code
输入框|Input Fields	输入框四种状态：默认、空值、聚焦、错误。空值显示占位符提示；聚焦用边框或阴影高亮；错误用红色边框配合错误提示文字。	ui,输入框,表单,验证	format=list
卡片组件|Card Component	卡片三要素：容器、标题、内容区。容器可加圆角+阴影；标题区通常用粗体或不同背景区分；内容区放置详细信息。	ui,卡片,容器,信息架构	style=principle
导航栏|Navigation Bar	顶部导航五原则：Logo固定左侧、核心入口居中、重要操作放右、搜索框可折叠、保持层级扁平。移动端需折叠为汉堡菜单。	ui,导航,信息架构,响应式	style=code
模态框|Modal Dialog	模态框三要素：遮罩层(半透明黑)、内容框(居中白底)、关闭机制(X按钮/ESC/点击遮罩)。使用时需禁止背景滚动。	ui,模态框,弹窗,交互	style=code
底部标签栏|Bottom Tab Bar	移动端底部导航五原则：图标+文字、3-5个选项、当前项高亮、避免点击热区过小(至少44px)、切换动画流畅。	ui,导航,移动端,标签栏	style=principle
侧边抽屉|Side Drawer	侧边抽屉四要素：滑入方向(左/右)、宽度(通常70-85%)、遮罩反馈、关闭触发点。适合不常用但需快速访问的功能。	ui,侧边栏,导航,抽屉	style=code
列表项|List Item	列表项设计七要素：高度固定(减少认知负担)、左侧图标/头像、主文字+副文字、右侧次要信息、可点击态、分割线或间距、分组标题。	ui,列表,信息架构,移动端	style=principle
开关组件|Toggle Switch	开关三态：关(灰色/左侧)、开(品牌色/右侧)、禁用(降低透明度)。状态切换即时反馈，无需确认。用于二元设置项。	ui,开关,表单,开关控件	style=code
进度条|Progress Bar	进度条四类：线性进度(文件上传)、环形进度(加载百分比)、步骤进度(多阶段流程)、骨架屏(内容占位)。应配合百分比或步骤数字。	ui,进度,加载,反馈	format=list
Toast提示|Toast Notification	轻提示四要素：位置(顶部/底部)、自动消失(2-4秒)、可手动关闭、层级最高不被遮挡。用于操作反馈，不阻断交互。	ui,提示,反馈,轻提示	style=code
下拉菜单|Dropdown Menu	下拉菜单五要素：触发器(按钮/输入框)、箭头指示展开方向、菜单项悬停高亮、选中项打勾、可搜索(选项过多时)。	ui,下拉菜单,选择,表单	style=code
标签页|Tabs	标签页三要素：标签组(横向排列)、指示器(下划线/背景高亮)、内容面板。切换时内容淡入淡出，禁止标签文字折行。	ui,标签页,导航,内容切换	style=code
分页器|Pagination	分页器四要素：当前页码高亮、上一页/下一页按钮、中间页码省略、每页条数选择器(可选)。数据量大时使用。	ui,分页,导航,数据展示	style=principle
头像组件|Avatar	头像五场景：用户头像(圆形)、群组头像(圆角矩形)、企业Logo(方形)、文字头像(无图片时)、状态徽章(在线/离线/认证)。	ui,头像,用户,状态	format=list
徽标组件|Badge	徽标四用法：数字角标(新消息数)、红点提示(未读)、文字角标(标签/热词)、状态指示(在线/离线)。位置在右上角。	ui,徽标,角标,通知	style=code
空状态|Empty State	空状态三要素：插画/图标(视觉安慰)、简短文案(说明当前情况)、操作按钮(引导用户行动)。降低用户焦虑感。	ui,空状态,空页面,引导	style=principle
加载状态|Loading State	加载四方式：骨架屏(内容占位)、spinner(小区域)、进度条(已知时长)、懒加载(渐进呈现)。优先骨架屏减少感知等待时间。	ui,加载,等待,反馈	format=list
错误状态|Error State	错误状态五要素：错误图标、简洁描述、可能原因、操作建议、紧急联系(严重错误时)。语气友好，避免技术术语。	ui,错误,异常,反馈	style=principle
搜索框|Search Bar	搜索框五要素：搜索图标、输入区、清除按钮、实时建议/历史记录、搜索结果页。移动端需唤起键盘后顶部固定。	ui,搜索,输入,发现	style=code
筛选器|Filter	筛选器三形式：标签式(快速切换)、下拉式(多选条件)、面板式(复杂筛选)。筛选结果需实时更新并显示数量。	ui,筛选,过滤,数据	style=code
排序器|Sorter	排序器四要素：当前排序字段高亮、升序/降序切换、排序选项列表、可重置。配合筛选器使用。	ui,排序,数据,交互	style=code
步进器|Stepper	步进器三场景：数量增减(购物车)、日期调整(预订)、数值微调(设置项)。需防重复点击、设上下限。	ui,步进器,数量,表单	style=code
滑块|Slider	滑块四要素：轨道、滑块手柄、当前值提示、刻度标记(可选)。用于数值在范围内连续变化的场景。	ui,滑块,范围,输入	style=code
评分组件|Rating	评分三要素：星级图标、当前分数、交互方式(点击/hover)。支持半星时用半个图标或半透明叠加。	ui,评分,反馈,评价	style=code
轮播图|Carousel	轮播图四要素：指示器(点/数字)、左右箭头、循环/不循环、自动播放(可选)。每屏一个主题，避免信息过载。	ui,轮播,图片,展示	style=code
折叠面板|Accordion	折叠面板三要素：标题栏(可点击展开)、展开/收起动画、内容区。常用于FAQ、设置项分组。	ui,折叠,展开,内容	style=code
面包屑|Breadcrumb	面包屑三要素：路径层级、当前页高亮、点击可返回。帮助用户了解位置、快捷返回上级。	ui,面包屑,导航,位置	style=code
步骤条|Stepper/Steps	步骤条四类：编号步骤(法定流程)、图标步骤(完成状态可视化)、横向/纵向布局、当前步骤高亮。	ui,步骤,流程,引导	style=code
图片上传|Image Upload	图片上传四模式：点击上传(单图)、拖拽上传(批量)、拍照上传(移动端)、图库选择。需预览、删除、重新上传。	ui,上传,图片,表单	style=code
