title	content	tags	metadata
漫画分镜基础|Storyboard Basics	漫画分镜三要素：画格(裁切画面)、画框(分隔画格)、空间(画格间的留白与节奏)。画格形状影响节奏：横长格=场景展开/放缓；竖长格=紧张/高潮；方形=日常/稳定。	分镜,画格,漫画,叙事	style=principle
时间节奏控制|Time & Pacing	漫画时间节奏四技巧：格数(多=慢/少=快)、画格大小(大=强调/小=掠过)、留白面积(白=安静/黑=紧张)、页面构图(疏密对比)。	分镜,节奏,时间,叙事	style=principle
视线引导|Guiding the Eye	视线引导四法：角色的视线方向、指示性动作/物体、运动轨迹线、出血格(突破边框)引导视线到下一页。	分镜,视线,引导,构图	style=principle
对话气泡设计|Speech Bubbles	对话气泡设计六要素：气泡形状(圆形=普通/云朵=思考/尖刺=喊叫/矩形=旁白)、引线位置、字体大小(表示音量/距离)、多层对话、混用(内心/独白/旁白)、省略/群组。	分镜,对话,气泡,文字	style=code
速度线应用|Speed Lines	速度线四用法：集中线(冲击点)、放射线(爆发感)、平行线(移动感)、集中+平行(冲击+方向)。线条密度表示速度感。	分镜,速度线,动态,效果	style=code
效果线详解|Effect Lines	效果线五类型：速度线、集中线、放射线、涡卷线、震动线。配合拟声词使用，增强画面张力。	分镜,效果线,拟声词,动感	style=code
拟声词设计|Onomatopoeia	拟声词设计四原则：字体匹配效果(粗黑=冲击/细圆=轻飘)、大小表示音量、位置引导视线、颜色区分层次。	分镜,拟声词,音效,文字效果	style=code
网点纸使用| screentone Usage	网点纸五应用：表示色调(渐变/单色)、纹理(布料/头发/材质)、光影效果、集中视线、背景氛围。网点角度影响视觉效果。	分镜,网点,灰度,纹理	style=code
格子分割法| Panel Division	分割法五类型：对称分割(稳定/仪式感)、黄金分割(自然舒适)、对角分割(动感)、自由分割(强调/混乱)、跨页大格(高潮)。	分镜,分割,构图,布局	style=code
出血设计|Bleed Design	出血格三要素：出血位置(左/右/上下/角)、出血程度(半出血/全出血)、与下一格衔接。制造视觉冲击和节奏变化。	分镜,出血,构图,节奏	style=code
跨页设计|Double Page Spread	跨页设计四要素：视觉中心点、展开方向(从左页引入)、留白呼吸、分割线弱化。跨页大格制造高潮。	分镜,跨页,大场面,构图	style=principle
特写镜头|Close-up Shot	特写用法：强调情绪(面部微表情)、揭示细节(关键道具)、转换节奏(大特写后接全景)。特写格可加粗边框。	分镜,特写,情绪,镜头语言	style=principle
全景镜头|Wide Shot	全景用法：建立场景、交代空间关系、展示人物与环境关系。全景后接特写=对比强调。	分镜,全景,场景,镜头语言	style=principle
仰视俯视|High & Low Angle	仰视(蚁人视角)=威严/压迫感；俯视(鸟瞰)=渺小/掌控感。角度变化增加镜头多样性。	分镜,角度,透视,镜头语言	style=principle
斜格运用|Angled Panels	斜格用法：打破稳定感、增加动感、强调紧张/混乱。斜度越大张力越强。	分镜,斜格,动感,构图	style=code
页面布局类型|Layout Types	布局五类型：单格大页(强调)、多格均匀(日常)、疏密对比(节奏)、无格设计(自由)、混搭型(根据情节)。	分镜,布局,页面,构图	format=list
故事板流程|Storyboard Flow	流程设计四步：粗稿规划(大感觉)→正式分镜(格子+构图)→细草(表情/细节)→正稿。分镜阶段解决80%叙事问题。	分镜,流程,工作流,制作	style=principle
连续动作表现|Action Continuity	连续动作三技巧：分解动作(多格展示)、动态姿势(单格捕捉高潮)、暗示动作(前后帧暗示中间)。漫画的定格动画感。	分镜,动作,连续,动态	style=principle
转场技巧|Transition Techniques	转场五法：同场景格切(平缓)、地点切换(用场景格过渡)、时间流逝(光线/日历)、省略过渡(跳接)、效果转场(模糊/白切)。	分镜,转场,叙事,节奏	style=code
省略与留白|Omission & White Space	省略三层次：格内省略(动作关键帧)、格间省略(过程略过)、页间省略(时间跳跃)。留白=给读者想象空间。	分镜,省略,留白,叙事	style=principle
第一人称视角|First Person View	第一人称视角用法：代入感强、限制信息(制造悬念)、内心戏展示。需配合"我"的视角特点(有限视野、手部/脚部入镜)。	分镜,第一人称,视角,代入感	style=principle
客观视角|Third Person	第三人称用法：客观叙事、展示多人互动、全知视角。漫画最常用视角，切换灵活。	分镜,第三人称,客观,叙事	style=principle
仰冲镜头|Dutch Angle	仰冲镜头(德语角)：画面倾斜，产生不安/紧张/危险感。用于追逐、战斗、悬疑场景。	分镜,倾斜,紧张,心理	style=code
分割画面|Split Panel	分割画面用法：同时展示不同地点/时间发生的关联事件；对比(过去vs现在)；分屏叙事。分割线=同时性暗示。	分镜,分割,多视角,叙事	style=code
遮盖与暗示|Cover & Suggest	遮盖用法：黑色遮盖(信息隐藏/悬念)、半遮盖(部分透露)、文字遮盖(对话打断)。暗示：用关键道具/声音引导预期。	分镜,遮盖,悬念,叙事	style=principle
对话框排列|Dialogue Placement	排列三原则：阅读顺序(从众)、视线方向(左到右)、画面重心(右上是天然终点)。避免视线跳跃。	分镜,对话,排列,阅读	style=code
无声画面|Silent Panels	无声画面用法：强调氛围、展示情绪、节奏停顿、省略过渡。无文字=读者注意力集中于画面。	分镜,无声,静默,氛围	style=principle
漫画蒙太奇|Montage	蒙太奇用法：时间压缩(多格快速切换)、概念表达(并置产生新义)、情绪累积。常见于训练、回忆、情感表达。	分镜,蒙太奇,剪辑,叙事	style=code
动作分镜|Action Storyboard	动作分镜四要素：蓄力(准备动作)、执行(主要动作)、冲击(接触瞬间)、结果(效果)。动作漫画的节奏引擎。	分镜,动作,分镜,动感	style=principle
表情特写|Expression Close-up	表情特写用法：情绪爆发点、内心独白、关键对话反应。配合效果线/拟声词放大情绪。	分镜,表情,情绪,特写	style=code
背景叙事|Background Storytelling	背景叙事用法：墙上照片(回忆)、窗外天气(心境)、环境中细节(时代/性格)。用背景交代文字未说之事。	分镜,背景,细节,叙事	style=principle
