title	content	tags	metadata
人体基础结构|Body Structure	人体比例：七头身(成人理想)、六头身(青少年)、四头身(Q版/可爱)。头身比决定风格和观感。	姿势,人体,比例,基础	style=principle
站姿基础|Standing Pose	站姿三要素：重心分布(双腿/单腿)、肩胯关系(平行/扭转)、手部位置(自然下垂/插兜/交叉)。站姿=静中的动。	姿势,站姿,重心,基础	style=code
走姿动态|Walking Pose	走姿六要点：重心交替(重心腿/摆动腿)、胯部扭转(8字摆动)、手臂摆动(与腿相反)、头部稳定(轻微起伏)、步幅节奏、脚掌滚动。	姿势,走姿,动态,行走	style=code
跑姿动态|Running Pose	跑姿关键：前倾角度(推动力)、双腿跨度(大步幅)、手臂摆幅(高频率)、躯干扭转(力量传递)、头部稳定。跑步=动态平衡。	姿势,跑姿,动态,运动	style=code
坐姿类型|Sitting Poses	坐姿四型：正式坐(背直/双腿并)、休闲坐(半靠/腿伸)、地板坐(盘腿/侧坐)、椅子坐(不同坐深)。坐姿反映身份和状态。	姿势,坐姿,类型,状态	style=code
蹲姿要点|Squatting Pose	蹲姿三要素：重心位置(前脚掌/全脚)、膝盖位置(超过脚尖/不过)、背部角度(直立/前倾)。蹲姿=蓄势待发或放松。	姿势,蹲姿,重心,动态	style=code
卧姿表现|Lying Poses	卧姿三式：俯卧(支撑/放松)、仰卧(睡眠/死亡/仰望)、侧卧(休息/亲密)。卧姿=最少防御的姿态。	姿势,卧姿,休息,状态	style=code
手的姿态|Hand Gestures	手势三区：上区(情绪/强调)、中区(日常/交流)、下区(隐藏/防御)。手=人的第二张脸。	姿势,手势,手,表达	style=principle
头部角度|Head Angles	头部角度表达：正(坦然/自信)、侧(优雅/神秘)、低(思考/内省)、仰(渴望/傲慢)、歪(可爱/疑惑)。头部=情绪的方向盘。	姿势,头部,角度,情绪	style=principle
重心转移|Center of Gravity	重心转移原理：单腿承重(重心腿)、重心转移(走路/跑步)、重心下沉(稳定感)、重心升高(准备起跳)。重心=姿态的核心。	姿势,重心,平衡,动态	style=principle
扭转发力| Twisting Motion	扭转原理：肩与胯方向相反(8字扭)、扭转程度=张力/动态感。S曲线=最美的扭转。	姿势,扭转,动态,构图	style=principle
透视缩短|Foreshortening	透视缩短表现：肢体向镜头方向伸展、手脚放大/身体缩短。透视缩短=戏剧张力。	姿势,透视,缩短,张力	style=code
Q版姿势|Q版 Pose	Q版姿势特点：三头身/四头身、头大身小、简化细节、夸张表情和动作。Q版=可爱萌感。	姿势,q版,可爱,简化	style=code
战斗姿势|Combat Stance	战斗姿势要素：重心降低、双腿分开、拳头在前、肘部护体、肌肉紧绷。战斗姿势=准备出击。	姿势,战斗,动态,张力	style=code
舞蹈姿势|Dance Poses	舞蹈姿势特点：线条延伸、节奏感、重心移动、肢体舒展。舞蹈=动态的艺术化。	姿势,舞蹈,线条,节奏	style=code
武术姿势|Martial Arts Poses	武术姿势：弓步(攻击准备)、马步(稳定下盘)、虚步(灵活轻灵)、仆步(低位移动)。每个姿势都有发力原理。	姿势,武术,架势,中国	style=code
体育动作|Sports Poses	体育动作分类：力量型(举重/投掷)、速度型(短跑/游泳)、技巧型(篮球/足球)、优雅型(体操/花样滑冰)。每个运动有独特姿态。	姿势,体育,动态,专业	style=code
跳跃姿势|Jumping Poses	跳跃四阶段：蓄力(屈膝下蹲)、起跳(伸展发力)、腾空(空中姿态)、落地(缓冲屈膝)。跳跃=对抗重力的艺术。	姿势,跳跃,动态,腾空	style=code
推拉姿势|Push & Pull Poses	推拉姿势要点：推(手臂伸直/身体后仰)、拉(手臂弯曲/身体前倾)、力的传递(躯干扭转)。推拉=最基础的力。	姿势,推拉,力量,动态	style=code
拥抱姿势|Hugging Poses	拥抱姿势分类：正面拥抱(亲密/安慰)、侧面拥抱(朋友/轻松)、背后环抱(保护/依赖)、公主抱(浪漫/特殊)。拥抱=身体语言。	姿势,拥抱,亲密,关系	style=code
挥手姿势|Waving Gestures	挥手类型：再见挥手(手心朝外)、打招呼(手心朝内)、致意(轻微上下)、热情招呼(大幅摆动)。挥手=最通用的肢体语言。	姿势,挥手,打招呼,交流	style=code
思考姿势|Thinking Poses	思考姿势：托腮(手肘支撑)、抱臂(沉思)、踱步(活跃思维)、凝视远方。思考=外化的内心活动。	姿势,思考,沉思,人物	style=code
情绪姿势|Emotional Poses	情绪姿势：悲伤(蜷缩/下垂)、愤怒(紧绷/前倾)、喜悦(舒展/跳跃)、恐惧(后退/颤抖)。情绪=身体的语言。	姿势,情绪,肢体,表演	style=code
动态捕捉|Dynamic Poses	动态姿势要点：打破对称、增加倾斜、肢体伸向不同方向、S曲线、动感模糊。动态=静止中的运动感。	姿势,动态,运动,张力	style=principle
服装与姿势|Clothing & Pose	服装影响姿势：紧身衣(展示体型)、宽松衣(隐藏身形)、长裙(限制腿部动作)、高跟鞋(改变重心和姿态)。	姿势,服装,角色,设计	style=principle
角色姿势设计|Pose Design	姿势设计四问：角色是谁(性格)？在做什么(动作)？情绪如何(状态)？为什么(动机)？姿势=无声的角色介绍。	姿势,角色,设计,角色设计	style=principle
男女姿势差异|Male vs Female Poses	男女姿势差异：肩宽vs胯宽、重心高低(男低女高)、步伐(男大步女小碎)、手部(男粗大女纤细)。姿势体现性别特征。	姿势,性别,差异,生理	style=principle
年龄姿势差异|Age Pose Differences	年龄姿势：儿童(头大、四肢短、重心低)、青年(挺拔、灵活)、中年(重心下移、腹部隆起)、老年(驼背、步态缓慢)。年龄=身体的变化。	姿势,年龄,生理,角色	style=principle
职业姿势特征|Professional Poses	职业姿势特征：军人(挺拔/步伐一致)、舞者(舒展/线条)、程序员(驼背/盯着屏幕)、运动员(肌肉感/姿态专业)。职业塑造身体。	姿势,职业,特征,角色	style=principle
魔幻姿势|Magical Poses	魔幻姿势要素：手势复杂(施法手势)、身体漂浮、能量效果、光芒特效、衣带飘风。魔幻=打破物理常规。	姿势,魔幻,特效,幻想	style=code
科幻姿势|Sci-fi Poses	科幻姿势要素：装甲姿态(僵硬/厚重)、机甲操控(半机械感)、悬浮(失重感)、武器握持。科幻=未来感。	姿势,科幻,未来,角色	style=code
日常姿势库|Daily Poses	日常姿势：吃饭(手握餐具)、打电话(侧头夹手机)、看书(低头/侧头)、做饭(手部动作多)、刷牙(单手操作)。日常=细节的真实。	姿势,日常,生活,真实	style=list
动物姿势|Animal Poses	动物姿势要点：四足动物(侧面为主)、鸟(单腿站立/飞行)、猫科(柔软/伸缩)、犬科(摇尾/蹲坐)。动物姿势=观察与概括。	姿势,动物,四足,自然	style=code
