title	content	tags	metadata
用户体验五要素|UX Five Elements	用户体验五层模型：战略层(产品目标、用户需求)→范围层(功能规格、内容需求)→结构层(交互设计、信息架构)→框架层(界面设计、导航设计、信息设计)→表现层(视觉设计)	ux,理论,框架,设计思维	style=principle
用户研究方法|User Research Methods	用户研究十二法：问卷调查、用户访谈、焦点小组、可用性测试、A/B测试、卡片分类、用户日志、竞品分析、heuristic评估、认知走查、think-aloud、眼动追踪。	ux,用户研究,方法,调研	format=list
用户画像|Persona	用户画像三步骤：数据收集(定量+定性)、聚类分析、共性提炼。包含基本信息、目标、痛点、行为、动机。用于决策参考而非绝对真理。	ux,用户画像,人物,角色	style=principle
用户体验地图|User Journey Map	用户体验地图六要素：角色、场景、目标、触点、行为、情绪。横轴是时间线，纵轴是情绪高低。发现痛点、机会点。	ux,旅程图,触点,情绪	style=code
同理心地图|Empathy Map	同理心地图四象限：我看到/听到、我思考/感受、我说/做的、他人说/做的。帮助理解用户深层动机。	ux,同理心,用户洞察,工具	style=code
信息架构|Information Architecture	信息架构四原则：分类清晰(按用户心智)、层级扁平(减少点击)、导航一致(位置固定)、标签易理解(避免术语)。	ux,信息架构,ia,导航	style=principle
交互流程图|Interaction Flow	交互流程图三要素：起始点、任务路径(分支+循环)、结束点。用椭圆形表示开始/结束，矩形表示操作，菱形表示判断。	ux,流程图,交互,任务	style=code
卡片分类法|Card Sorting	卡片分类三步：准备卡片(内容项)、邀请用户(5-8人)、分类命名(开放式/封闭式)。结果用于信息架构和导航设计。	ux,卡片分类,信息架构,研究	style=principle
可用性测试|Usability Testing	可用性测试五指标：任务完成率、完成时间、错误数、满意度评分、关键行为观察。分为主持人式/无声观察式。	ux,可用性,测试,评估	format=list
十 heuristics|Heuristic Evaluation	Nielsen十启发式：系统状态可见、系统与现实匹配、用户控制与自由、一致性与标准、错误预防、识别而非回忆、灵活高效美感、容错帮助文档、帮助文档。	ux,启发式评估,原则,nielsen	format=list
心智模型|Mental Model	心智模型是用户对产品运作方式的内在理解。设计时需匹配用户心智而非技术逻辑。访谈+观察发现，原型+测试验证。	ux,心智模型,认知,用户心理	style=principle
